date,domain,status,status_details,pages
2021-12-06,domain2,Excluded,Discovered - currently not indexed,1955
2021-12-06,domain2,Excluded,Duplicate without user-selected canonical,797
2021-12-06,domain2,Excluded,"Duplicate, Google chose different canonical than user",1403
2021-12-06,domain2,Excluded,"Duplicate, submitted URL not selected as canonical",25
2021-12-06,domain2,Excluded,Excluded by ‘noindex’ tag,258
2021-12-06,domain2,Valid,"Indexed, not submitted in sitemap",3620
2021-12-06,domain2,Warning,"Indexed, though blocked by robots.txt",27
2021-12-06,domain2,Excluded,Not found (404),186
2021-12-06,domain2,Warning,Page indexed without content,0
2021-12-06,domain2,Excluded,Page with redirect,10252
2021-12-06,domain2,Error,Server error (5xx),15
2021-12-06,domain2,Excluded,Soft 404,666
2021-12-06,domain2,Valid,Submitted and indexed,11076
2021-12-06,domain2,Error,Submitted URL not found (404),42
2021-12-06,domain2,Error,Submitted URL seems to be a Soft 404,1
2021-12-07,domain2,Excluded,Alternate page with proper canonical tag,2179
2021-12-07,domain2,Excluded,Blocked by robots.txt,5
2021-12-07,domain2,Excluded,Blocked due to access forbidden (403),1
2021-12-07,domain2,Excluded,Blocked due to other 4xx issue,1
2021-12-07,domain2,Excluded,Crawled - currently not indexed,4495
2021-12-07,domain2,Excluded,Discovered - currently not indexed,1955
2021-12-07,domain2,Excluded,Duplicate without user-selected canonical,797
2021-12-07,domain2,Excluded,"Duplicate, Google chose different canonical than user",1403
2021-12-07,domain2,Excluded,"Duplicate, submitted URL not selected as canonical",25
2021-12-07,domain2,Excluded,Excluded by ‘noindex’ tag,258
2021-12-07,domain2,Valid,"Indexed, not submitted in sitemap",3620
2021-12-07,domain2,Warning,"Indexed, though blocked by robots.txt",27
2021-12-07,domain2,Excluded,Not found (404),186
2021-12-07,domain2,Warning,Page indexed without content,0
2021-12-07,domain2,Excluded,Page with redirect,10252
2021-12-07,domain2,Error,Server error (5xx),15
2021-12-07,domain2,Excluded,Soft 404,666
2021-12-07,domain2,Valid,Submitted and indexed,11076
2021-12-07,domain2,Error,Submitted URL not found (404),42
2021-12-07,domain2,Error,Submitted URL seems to be a Soft 404,1
2021-12-09,domain2,Excluded,Alternate page with proper canonical tag,2171
2021-12-09,domain2,Excluded,Blocked by robots.txt,5
2021-12-09,domain2,Excluded,Blocked due to access forbidden (403),1
2021-12-09,domain2,Excluded,Blocked due to other 4xx issue,1
2021-12-09,domain2,Excluded,Crawled - currently not indexed,4396
2021-12-09,domain2,Excluded,Discovered - currently not indexed,1934
2021-12-09,domain2,Excluded,Duplicate without user-selected canonical,788
2021-12-09,domain2,Excluded,"Duplicate, Google chose different canonical than user",1387
2021-12-09,domain2,Excluded,"Duplicate, submitted URL not selected as canonical",25
