date,domain,status,status_details,pages
2021-12-15,domain12,Excluded,Crawled - currently not indexed,20
2021-12-15,domain12,Excluded,Duplicate without user-selected canonical,1
2021-12-15,domain12,Excluded,Excluded by ‘noindex’ tag,2
2021-12-15,domain12,Valid,"Indexed, not submitted in sitemap",35
2021-12-15,domain12,Excluded,Not found (404),5
2021-12-15,domain12,Excluded,Page with redirect,370
2021-12-07,domain13,Excluded,Page with redirect,1
2021-12-09,domain13,Excluded,Page with redirect,1
2021-12-10,domain13,Excluded,Page with redirect,1
2021-12-13,domain13,Excluded,Page with redirect,1
2021-12-14,domain13,Excluded,Page with redirect,1
2021-12-15,domain13,Excluded,Page with redirect,1
2021-12-07,domain14,Excluded,Excluded by ‘noindex’ tag,1
2021-12-07,domain14,Excluded,Not found (404),0
2021-12-07,domain14,Excluded,Page with redirect,59
,domain14,Excluded,Excluded by ‘noindex’ tag,1
2021-12-09,domain14,Excluded,Not found (404),0
2021-12-09,domain14,Excluded,Page with redirect,59
2021-12-10,domain14,Excluded,Excluded by ‘noindex’ tag,1
2021-12-10,domain14,Excluded,Not found (404),0
2021-12-10,domain14,Excluded,Page with redirect,59
2021-12-13,domain14,Excluded,Excluded by ‘noindex’ tag,1
2021-12-13,domain14,Excluded,Not found (404),0
2021-12-13,domain14,Excluded,Page with redirect,59
2021-12-14,domain14,Excluded,Excluded by ‘noindex’ tag,1
2021-12-14,domain14,Excluded,Not found (404),0
2021-12-14,domain14,Excluded,Page with redirect,59
2021-12-15,domain14,Excluded,Excluded by ‘noindex’ tag,1
2021-12-15,domain14,Excluded,Not found (404),0
2021-12-15,domain14,,Page with redirect,59
2021-12-09,domain15,,Crawled - currently not indexed,0
2021-12-09,domain15,Excluded,Excluded by ‘noindex’ tag,26
2021-12-09,domain15,Excluded,Page with redirect,43
2021-12-10,domain15,Excluded,Crawled - currently not indexed,0
2021-12-10,domain15,Excluded,Excluded by ‘noindex’ tag,26
2021-12-10,domain15,Excluded,Page with redirect,43
2021-12-13,domain15,Excluded,Crawled - currently not indexed,0
2021-12-13,domain15,Excluded,Excluded by ‘noindex’ tag,25
,domain15,Excluded,Page with redirect,42
2021-12-14,domain15,Excluded,Crawled - currently not indexed,0
2021-12-14,domain15,Excluded,Excluded by ‘noindex’ tag,25
2021-12-14,domain15,Excluded,Page with redirect,42
2021-12-15,domain15,Excluded,Crawled - currently not indexed,0
2021-12-15,domain15,Excluded,Excluded by ‘noindex’ tag,25
2021-12-15,domain15,Excluded,Page with redirect,
2021-12-07,domain16,Excluded,Alternate page with proper canonical tag,1
2021-12-07,domain16,Excluded,Blocked by robots.txt,0
2021-12-07,domain16,Excluded,Crawled - currently not indexed,5
2021-12-07,domain16,Excluded,Excluded by ‘noindex’ tag,45
2021-12-07,domain16,Warning,"Indexed, though blocked by robots.txt",0
2021-12-07,domain16,Excluded,Not found (404),2
2021-12-07,domain16,Excluded,Page with redirect,191
2021-12-07,domain16,Error,Server error (5xx),0
2021-12-09,domain16,Excluded,Alternate page with proper canonical tag,1
2021-12-09,domain16,Excluded,Blocked by robots.txt,0
2021-12-09,,Excluded,Crawled - currently not indexed,5
2021-12-09,domain16,Excluded,Excluded by ‘noindex’ tag,45
2021-12-09,domain16,Warning,"Indexed, though blocked by robots.txt",0
2021-12-09,domain16,Excluded,Not found (404),2
2021-12-09,domain16,Excluded,Page with redirect,188
2021-12-09,domain16,Error,Server error (5xx),0
2021-12-10,domain16,Excluded,Alternate page with proper canonical tag,1
2021-12-10,domain16,Excluded,Blocked by robots.txt,0
2021-12-10,domain16,Excluded,Crawled - currently not indexed,5
2021-12-10,domain16,Excluded,Excluded by ‘noindex’ tag,45
2021-12-10,domain16,Warning,"Indexed, though blocked by robots.txt",0
2021-12-10,domain16,Excluded,Not found (404),2
2021-12-10,domain16,Excluded,Page with redirect,188
2021-12-10,domain16,Error,Server error (5xx),0
2021-12-13,domain16,Excluded,Alternate page with proper canonical tag,1
2021-12-13,domain16,Excluded,Blocked by robots.txt,0
2021-12-13,domain16,Excluded,Crawled - currently not indexed,5
2021-12-13,domain16,Excluded,Excluded by ‘noindex’ tag,42
2021-12-13,domain16,Warning,"Indexed, though blocked by robots.txt",0
2021-12-13,domain16,Excluded,Not found (404),2
2021-12-13,domain16,Excluded,Page with redirect,186
2021-12-13,domain16,Error,Server error (5xx),0
2021-12-14,domain16,Excluded,Alternate page with proper canonical tag,1
2021-12-14,domain16,Excluded,Blocked by robots.txt,0
2021-12-14,,Excluded,Crawled - currently not indexed,5
2021-12-14,domain16,Excluded,Excluded by ‘noindex’ tag,42
2021-12-14,domain16,Warning,"Indexed, though blocked by robots.txt",0
2021-12-14,domain16,Excluded,Not found (404),2
2021-12-14,domain16,Excluded,Page with redirect,186
2021-12-14,domain16,Error,Server error (5xx),0
2021-12-15,domain16,Excluded,Alternate page with proper canonical tag,1
2021-12-15,domain16,Excluded,Blocked by robots.txt,0
2021-12-15,domain16,Excluded,Crawled - currently not indexed,5
2021-12-15,domain16,Excluded,Excluded by ‘noindex’ tag,41
2021-12-15,domain16,Warning,"Indexed, though blocked by robots.txt",0
2021-12-15,domain16,Excluded,Not found (404),2
2021-12-15,domain16,Excluded,Page with redirect,186
,domain16,Error,Server error (5xx),0
2021-12-09,domain17,Excluded,Alternate page with proper canonical tag,176
2021-12-09,domain17,Excluded,Blocked due to other 4xx issue,7
2021-12-09,domain17,Excluded,Blocked due to unauthorized request (401),0
2021-12-09,domain17,Excluded,Crawled - currently not indexed,4267
2021-12-09,domain17,Excluded,Duplicate without user-selected canonical,
2021-12-09,domain17,Excluded,Excluded by ‘noindex’ tag,1
2021-12-09,domain17,Valid,"Indexed, not submitted in sitemap",1
2021-12-09,domain17,Excluded,Not found (404),2794
2021-12-09,domain17,Excluded,Page with redirect,257
2021-12-09,domain17,Error,Server error (5xx),76
2021-12-09,domain17,Excluded,Soft 404,23
2021-12-10,domain17,Excluded,Alternate page with proper canonical tag,176
2021-12-10,domain17,Excluded,Blocked due to other 4xx issue,7
2021-12-10,domain17,Excluded,Blocked due to unauthorized request (401),0
2021-12-10,domain17,Excluded,Crawled - currently not indexed,4267
2021-12-10,domain17,Excluded,Duplicate without user-selected canonical,33
2021-12-10,domain17,Excluded,Excluded by ‘noindex’ tag,1
2021-12-10,domain17,Valid,"Indexed, not submitted in sitemap",1
2021-12-10,domain17,Excluded,,2794
2021-12-10,domain17,Excluded,Page with redirect,257
2021-12-10,domain17,Error,Server error (5xx),76
2021-12-10,domain17,Excluded,Soft 404,23
2021-12-13,domain17,Excluded,Alternate page with proper canonical tag,159
2021-12-13,domain17,Excluded,Blocked due to other 4xx issue,7
2021-12-13,domain17,Excluded,Blocked due to unauthorized request (401),0
2021-12-13,domain17,Excluded,Crawled - currently not indexed,4246
2021-12-13,domain17,Excluded,Duplicate without user-selected canonical,23
2021-12-13,domain17,Excluded,Excluded by ‘noindex’ tag,1
2021-12-13,domain17,Valid,"Indexed, not submitted in sitemap",0
2021-12-13,domain17,Excluded,Not found (404),2706
2021-12-13,domain17,Excluded,Page with redirect,237
2021-12-13,domain17,Error,Redirect error,1
2021-12-13,domain17,Error,Server error (5xx),76
2021-12-13,domain17,Excluded,Soft 404,23
2021-12-14,domain17,Excluded,Alternate page with proper canonical tag,159
2021-12-14,domain17,Excluded,Blocked due to other 4xx issue,7
2021-12-14,domain17,Excluded,Blocked due to unauthorized request (401),0
2021-12-14,domain17,Excluded,Crawled - currently not indexed,4246
2021-12-14,domain17,Excluded,Duplicate without user-selected canonical,23
2021-12-14,domain17,Excluded,Excluded by ‘noindex’ tag,1
2021-12-14,domain17,Valid,"Indexed, not submitted in sitemap",0
2021-12-14,domain17,Excluded,Not found (404),2706
2021-12-14,domain17,Excluded,Page with redirect,237
2021-12-14,domain17,Error,Redirect error,1
2021-12-14,domain17,Error,Server error (5xx),76
2021-12-14,domain17,Excluded,Soft 404,23
2021-12-15,domain17,Excluded,Alternate page with proper canonical tag,148
2021-12-15,domain17,Excluded,Blocked due to other 4xx issue,7
2021-12-15,domain17,Excluded,Blocked due to unauthorized request (401),0
2021-12-15,domain17,Excluded,Crawled - currently not indexed,4231
2021-12-15,domain17,Excluded,Duplicate without user-selected canonical,12
2021-12-15,domain17,Excluded,Excluded by ‘noindex’ tag,1
2021-12-15,domain17,Valid,,0
2021-12-15,domain17,Excluded,Not found (404),2643
2021-12-15,domain17,Excluded,Page with redirect,215
2021-12-15,domain17,Error,Redirect error,1
2021-12-15,domain17,Error,Server error (5xx),76
2021-12-15,domain17,Excluded,Soft 404,23
2021-12-06,domain18,Excluded,Excluded by ‘noindex’ tag,0
2021-12-06,domain18,Excluded,Page with redirect,9
2021-12-06,domain18,Excluded,Soft 404,0
2021-12-07,domain18,Excluded,Excluded by ‘noindex’ tag,0
2021-12-07,domain18,Excluded,Page with redirect,9
2021-12-07,domain18,Excluded,Soft 404,0
2021-12-09,domain18,Excluded,Excluded by ‘noindex’ tag,0
2021-12-09,domain18,Excluded,Page with redirect,8
2021-12-09,domain18,Excluded,Soft 404,0
2021-12-10,domain18,Excluded,Excluded by ‘noindex’ tag,0
2021-12-10,domain18,Excluded,Page with redirect,8
2021-12-10,domain18,Excluded,Soft 404,0
2021-12-11,domain18,Excluded,Excluded by ‘noindex’ tag,0
2021-12-11,domain18,Excluded,Page with redirect,8
,domain18,Excluded,Soft 404,0
2021-12-13,domain18,Excluded,Excluded by ‘noindex’ tag,0
2021-12-13,domain18,Excluded,Page with redirect,8
2021-12-13,domain18,Excluded,Soft 404,0
2021-12-14,domain18,Excluded,Excluded by ‘noindex’ tag,0
2021-12-14,domain18,Excluded,Page with redirect,8
2021-12-15,domain18,Excluded,Excluded by ‘noindex’ tag,0
2021-12-15,domain18,Excluded,Page with redirect,8
2021-12-16,domain18,Excluded,Excluded by ‘noindex’ tag,0
2021-12-16,domain18,Excluded,Page with redirect,8
2021-12-09,domain19,Excluded,Alternate page with proper canonical tag,734
2021-12-09,domain19,Excluded,Blocked by robots.txt,4501
2021-12-09,domain19,Excluded,Blocked due to access forbidden (403),7
2021-12-09,domain19,Excluded,Blocked due to other 4xx issue,1
2021-12-09,domain19,Excluded,,0
2021-12-09,domain19,Excluded,Crawled - currently not indexed,121684
2021-12-09,domain19,Excluded,Discovered - currently not indexed,1
,domain19,Excluded,Duplicate without user-selected canonical,
2021-12-09,domain19,Excluded,"Duplicate, Google chose different canonical than user",509
2021-12-09,domain19,Excluded,Excluded by ‘noindex’ tag,213752
2021-12-09,domain19,Valid,"Indexed, not submitted in sitemap",4589
2021-12-09,domain19,Warning,,5185
2021-12-09,domain19,Excluded,Not found (404),4242
2021-12-09,domain19,Warning,Page indexed without content,0
2021-12-09,domain19,Excluded,,786045
2021-12-09,domain19,Error,Redirect error,0
2021-12-09,domain19,Error,Server error (5xx),17
2021-12-09,domain19,Excluded,Soft 404,48191
2021-12-10,domain19,Excluded,Alternate page with proper canonical tag,734
2021-12-10,domain19,Excluded,Blocked by robots.txt,4501
2021-12-10,domain19,Excluded,Blocked due to access forbidden (403),7
2021-12-10,domain19,Excluded,Blocked due to other 4xx issue,1
2021-12-10,domain19,Excluded,Blocked due to unauthorized request (401),0
2021-12-10,domain19,Excluded,Crawled - currently not indexed,121684
2021-12-10,domain19,Excluded,Discovered - currently not indexed,1
2021-12-10,domain19,Excluded,Duplicate without user-selected canonical,1189
2021-12-10,domain19,Excluded,"Duplicate, Google chose different canonical than user",509
2021-12-10,domain19,Excluded,Excluded by ‘noindex’ tag,213752
2021-12-10,domain19,Valid,"Indexed, not submitted in sitemap",4589
2021-12-10,domain19,Warning,"Indexed, though blocked by robots.txt",5185
2021-12-10,domain19,Excluded,Not found (404),4242
2021-12-10,domain19,Warning,Page indexed without content,0
2021-12-10,domain19,Excluded,Page with redirect,786045
2021-12-10,domain19,Error,Redirect error,0
2021-12-10,domain19,Error,Server error (5xx),17
2021-12-10,domain19,Excluded,Soft 404,48191
2021-12-13,domain19,Excluded,Alternate page with proper canonical tag,725
2021-12-13,domain19,Excluded,Blocked by robots.txt,9166
2021-12-13,domain19,Excluded,Blocked due to access forbidden (403),8
2021-12-13,domain19,Excluded,Blocked due to other 4xx issue,1
2021-12-13,domain19,Excluded,Blocked due to unauthorized request (401),6
2021-12-13,domain19,Excluded,Crawled - currently not indexed,120887
2021-12-13,domain19,Excluded,Discovered - currently not indexed,1
2021-12-13,domain19,Excluded,Duplicate without user-selected canonical,1161
2021-12-13,domain19,Excluded,"Duplicate, Google chose different canonical than user",487
2021-12-13,domain19,Excluded,Excluded by ‘noindex’ tag,207991
2021-12-13,domain19,Valid,"Indexed, not submitted in sitemap",4323
2021-12-13,domain19,Warning,"Indexed, though blocked by robots.txt",4960
2021-12-13,domain19,Excluded,Not found (404),4927
2021-12-13,domain19,Warning,Page indexed without content,0
2021-12-13,domain19,Excluded,Page with redirect,785023
2021-12-13,domain19,Error,Redirect error,579
2021-12-13,domain19,Error,Server error (5xx),16
2021-12-13,domain19,Excluded,Soft 404,46724
2021-12-14,domain19,Excluded,Alternate page with proper canonical tag,725
2021-12-14,domain19,Excluded,Blocked by robots.txt,9166
2021-12-14,domain19,Excluded,Blocked due to access forbidden (403),8
2021-12-14,domain19,Excluded,Blocked due to other 4xx issue,1
2021-12-14,domain19,Excluded,Blocked due to unauthorized request (401),6
2021-12-14,domain19,Excluded,Crawled - currently not indexed,120887
2021-12-14,domain19,Excluded,Discovered - currently not indexed,1
2021-12-14,domain19,Excluded,Duplicate without user-selected canonical,1161
2021-12-14,domain19,Excluded,"Duplicate, Google chose different canonical than user",487
2021-12-14,domain19,Excluded,Excluded by ‘noindex’ tag,207991
2021-12-14,domain19,Valid,"Indexed, not submitted in sitemap",4323
2021-12-14,domain19,Warning,"Indexed, though blocked by robots.txt",4960
2021-12-14,domain19,Excluded,Not found (404),4927
2021-12-14,domain19,,Page indexed without content,0
2021-12-14,domain19,Excluded,Page with redirect,785023
2021-12-14,domain19,Error,Redirect error,579
2021-12-14,domain19,Error,Server error (5xx),16
2021-12-14,domain19,Excluded,Soft 404,46724
2021-12-15,domain19,Excluded,Alternate page with proper canonical tag,725
2021-12-15,domain19,Excluded,Blocked by robots.txt,11330
2021-12-15,domain19,Excluded,Blocked due to access forbidden (403),11
,domain19,Excluded,Blocked due to other 4xx issue,1
2021-12-15,domain19,Excluded,Blocked due to unauthorized request (401),10
2021-12-15,domain19,Excluded,Crawled - currently not indexed,115640
2021-12-15,domain19,Excluded,Discovered - currently not indexed,1
2021-12-15,domain19,Excluded,Duplicate without user-selected canonical,1157
2021-12-15,domain19,Excluded,"Duplicate, Google chose different canonical than user",483
2021-12-15,domain19,Excluded,Excluded by ‘noindex’ tag,207535
2021-12-15,domain19,Valid,"Indexed, not submitted in sitemap",4358
2021-12-15,domain19,Warning,"Indexed, though blocked by robots.txt",4935
2021-12-15,domain19,Excluded,Not found (404),5362
2021-12-15,domain19,Warning,Page indexed without content,0
2021-12-15,domain19,Excluded,Page with redirect,788766
2021-12-15,domain19,Error,Redirect error,627
2021-12-15,domain19,Error,Server error (5xx),16
2021-12-15,domain19,Excluded,Soft 404,46590
2021-12-06,domain20,Excluded,Alternate page with proper canonical tag,510
2021-12-06,domain20,Excluded,Crawled - currently not indexed,209
2021-12-06,domain20,Excluded,Discovered - currently not indexed,2
2021-12-06,domain20,Excluded,"Duplicate, Google chose different canonical than user",78
2021-12-06,domain20,Excluded,Excluded by ‘noindex’ tag,13
2021-12-06,domain20,Valid,"Indexed, not submitted in sitemap",183
2021-12-06,domain20,Excluded,Not found (404),5
2021-12-06,domain20,Excluded,Page with redirect,12
2021-12-07,domain20,Excluded,Alternate page with proper canonical tag,510
2021-12-07,domain20,Excluded,Crawled - currently not indexed,209
2021-12-07,domain20,Excluded,Discovered - currently not indexed,2
2021-12-07,domain20,Excluded,"Duplicate, Google chose different canonical than user",78
2021-12-07,domain20,Excluded,Excluded by ‘noindex’ tag,13
2021-12-07,domain20,Valid,"Indexed, not submitted in sitemap",183
2021-12-07,domain20,Excluded,Not found (404),5
2021-12-07,domain20,Excluded,Page with redirect,12
2021-12-09,domain20,Excluded,Alternate page with proper canonical tag,506
2021-12-09,domain20,Excluded,Crawled - currently not indexed,202
2021-12-09,domain20,Excluded,Discovered - currently not indexed,2
2021-12-09,domain20,Excluded,"Duplicate, Google chose different canonical than user",78
2021-12-09,domain20,Excluded,Excluded by ‘noindex’ tag,13
2021-12-09,domain20,Valid,"Indexed, not submitted in sitemap",
2021-12-09,domain20,Excluded,Not found (404),5
2021-12-09,domain20,Excluded,Page with redirect,12
2021-12-10,domain20,Excluded,Alternate page with proper canonical tag,506
2021-12-10,domain20,Excluded,,202
2021-12-10,domain20,Excluded,Discovered - currently not indexed,2
2021-12-10,domain20,Excluded,"Duplicate, Google chose different canonical than user",78
2021-12-10,domain20,Excluded,Excluded by ‘noindex’ tag,13
2021-12-10,domain20,Valid,"Indexed, not submitted in sitemap",184
2021-12-10,domain20,Excluded,Not found (404),5
2021-12-10,domain20,Excluded,Page with redirect,12
2021-12-13,domain20,Excluded,Alternate page with proper canonical tag,483
2021-12-13,domain20,Excluded,Crawled - currently not indexed,189
2021-12-13,domain20,Excluded,Discovered - currently not indexed,2
2021-12-13,domain20,Excluded,"Duplicate, Google chose different canonical than user",78
2021-12-13,domain20,Excluded,Excluded by ‘noindex’ tag,13
2021-12-13,domain20,,"Indexed, not submitted in sitemap",187
2021-12-13,domain20,Excluded,Not found (404),
2021-12-13,domain20,Excluded,Page with redirect,12
2021-12-14,domain20,Excluded,Alternate page with proper canonical tag,483
2021-12-14,domain20,Excluded,Crawled - currently not indexed,189
2021-12-14,domain20,Excluded,Discovered - currently not indexed,2
2021-12-14,domain20,Excluded,"Duplicate, Google chose different canonical than user",78
2021-12-14,domain20,Excluded,,13
2021-12-14,domain20,Valid,"Indexed, not submitted in sitemap",187
2021-12-14,domain20,Excluded,Not found (404),2
2021-12-14,domain20,Excluded,Page with redirect,12
2021-12-15,domain20,Excluded,Alternate page with proper canonical tag,480
2021-12-15,domain20,Excluded,Crawled - currently not indexed,171
2021-12-15,domain20,Excluded,Discovered - currently not indexed,2
2021-12-15,domain20,Excluded,"Duplicate, Google chose different canonical than user",78
2021-12-15,domain20,Excluded,Excluded by ‘noindex’ tag,13
2021-12-15,domain20,Valid,"Indexed, not submitted in sitemap",186
2021-12-15,domain20,Excluded,Not found (404),2
2021-12-15,domain20,Excluded,Page with redirect,12
2021-12-06,,Excluded,Alternate page with proper canonical tag,378
2021-12-06,,Excluded,Blocked by robots.txt,4539
2021-12-06,domain21,Excluded,Blocked due to access forbidden (403),0
2021-12-06,domain21,Excluded,Crawled - currently not indexed,9689
2021-12-06,domain21,Excluded,Discovered - currently not indexed,8
2021-12-06,domain21,Excluded,Duplicate without user-selected canonical,477
2021-12-06,domain21,Excluded,"Duplicate, Google chose different canonical than user",15
2021-12-06,domain21,Excluded,"Duplicate, submitted URL not selected as canonical",0
2021-12-06,domain21,Excluded,Excluded by ‘noindex’ tag,2219309
2021-12-06,domain21,Valid,"Indexed, not submitted in sitemap",2492
2021-12-06,domain21,Warning,"Indexed, though blocked by robots.txt",44515
2021-12-06,domain21,Excluded,Not found (404),40
2021-12-06,domain21,Excluded,Page with redirect,2695
2021-12-06,domain21,Excluded,Soft 404,964
2021-12-06,domain21,Valid,Submitted and indexed,0
2021-12-07,domain21,Excluded,Alternate page with proper canonical tag,378
2021-12-07,domain21,Excluded,Blocked by robots.txt,4539
2021-12-07,domain21,Excluded,Blocked due to access forbidden (403),0
2021-12-07,domain21,Excluded,Crawled - currently not indexed,9689
2021-12-07,domain21,Excluded,Discovered - currently not indexed,8
2021-12-07,domain21,Excluded,Duplicate without user-selected canonical,477
2021-12-07,domain21,Excluded,"Duplicate, Google chose different canonical than user",15
2021-12-07,domain21,Excluded,Excluded by ‘noindex’ tag,2219309
2021-12-07,domain21,Valid,"Indexed, not submitted in sitemap",2492
2021-12-07,domain21,Warning,"Indexed, though blocked by robots.txt",44515
2021-12-07,domain21,Excluded,Not found (404),40
2021-12-07,domain21,Excluded,Page with redirect,2695
2021-12-07,domain21,Excluded,Soft 404,964
2021-12-09,domain21,Excluded,Alternate page with proper canonical tag,369
2021-12-09,domain21,Excluded,Blocked by robots.txt,4614
2021-12-09,domain21,Excluded,Blocked due to access forbidden (403),0
2021-12-09,domain21,Excluded,Crawled - currently not indexed,9624
2021-12-09,domain21,Excluded,Discovered - currently not indexed,8
2021-12-09,domain21,Excluded,Duplicate without user-selected canonical,468
2021-12-09,,Excluded,"Duplicate, Google chose different canonical than user",14
2021-12-09,domain21,Excluded,Excluded by ‘noindex’ tag,2153230
2021-12-09,domain21,Valid,"Indexed, not submitted in sitemap",2485
2021-12-09,domain21,Warning,"Indexed, though blocked by robots.txt",44134
2021-12-09,domain21,Excluded,Not found (404),40
2021-12-09,domain21,Excluded,Page with redirect,2704
2021-12-09,domain21,Excluded,Soft 404,957
2021-12-10,domain21,Excluded,Alternate page with proper canonical tag,369
2021-12-10,domain21,Excluded,Blocked by robots.txt,4614
2021-12-10,domain21,Excluded,Blocked due to access forbidden (403),0
2021-12-10,domain21,Excluded,Crawled - currently not indexed,9624
2021-12-10,domain21,Excluded,Discovered - currently not indexed,8
2021-12-10,domain21,Excluded,Duplicate without user-selected canonical,
2021-12-10,domain21,Excluded,"Duplicate, Google chose different canonical than user",14
2021-12-10,domain21,Excluded,Excluded by ‘noindex’ tag,2153230
2021-12-10,domain21,Valid,"Indexed, not submitted in sitemap",2485
2021-12-10,domain21,Warning,"Indexed, though blocked by robots.txt",44134
2021-12-10,domain21,Excluded,Not found (404),40
2021-12-10,domain21,Excluded,Page with redirect,2704
2021-12-10,domain21,Excluded,Soft 404,957
2021-12-11,domain21,Excluded,Alternate page with proper canonical tag,369
2021-12-11,domain21,Excluded,Blocked by robots.txt,4614
2021-12-11,domain21,Excluded,Blocked due to access forbidden (403),0
2021-12-11,domain21,Excluded,Crawled - currently not indexed,9624
2021-12-11,domain21,Excluded,Discovered - currently not indexed,8
2021-12-11,domain21,Excluded,Duplicate without user-selected canonical,468
2021-12-11,domain21,Excluded,"Duplicate, Google chose different canonical than user",14
2021-12-11,domain21,Excluded,Excluded by ‘noindex’ tag,2153230
2021-12-11,domain21,Valid,"Indexed, not submitted in sitemap",2485
2021-12-11,domain21,Warning,"Indexed, though blocked by robots.txt",44134
2021-12-11,domain21,Excluded,Not found (404),40
2021-12-11,domain21,Excluded,Page with redirect,2704
2021-12-11,domain21,Excluded,Soft 404,957
2021-12-13,domain21,Excluded,Alternate page with proper canonical tag,367
2021-12-13,domain21,Excluded,Blocked by robots.txt,4749
2021-12-13,domain21,Excluded,Blocked due to access forbidden (403),1
2021-12-13,domain21,Excluded,Crawled - currently not indexed,9416
2021-12-13,domain21,Excluded,Discovered - currently not indexed,8
2021-12-13,domain21,Excluded,Duplicate without user-selected canonical,462
2021-12-13,domain21,Excluded,"Duplicate, Google chose different canonical than user",15
2021-12-13,domain21,Excluded,Excluded by ‘noindex’ tag,1979880
2021-12-13,domain21,,"Indexed, not submitted in sitemap",2438
2021-12-13,domain21,Warning,"Indexed, though blocked by robots.txt",43343
2021-12-13,domain21,Excluded,Not found (404),40
2021-12-13,domain21,Warning,Page indexed without content,1
2021-12-13,domain21,Excluded,Page with redirect,2671
2021-12-13,domain21,Error,Redirect error,67
2021-12-13,domain21,Excluded,Soft 404,932
2021-12-14,domain21,Excluded,Alternate page with proper canonical tag,367
2021-12-14,domain21,Excluded,Blocked by robots.txt,4749
2021-12-14,domain21,Excluded,Blocked due to access forbidden (403),1
2021-12-14,domain21,Excluded,Crawled - currently not indexed,9416
2021-12-14,domain21,Excluded,Discovered - currently not indexed,8
2021-12-14,domain21,Excluded,Duplicate without user-selected canonical,462
2021-12-14,domain21,Excluded,"Duplicate, Google chose different canonical than user",15
2021-12-14,domain21,Excluded,Excluded by ‘noindex’ tag,1979880
2021-12-14,domain21,Valid,"Indexed, not submitted in sitemap",2438
2021-12-14,domain21,Warning,"Indexed, though blocked by robots.txt",43343
2021-12-14,domain21,Excluded,Not found (404),40
2021-12-14,domain21,Warning,Page indexed without content,1
2021-12-14,domain21,Excluded,Page with redirect,2671
2021-12-14,domain21,Error,Redirect error,67
2021-12-14,domain21,Excluded,Soft 404,932
2021-12-15,domain21,Excluded,Alternate page with proper canonical tag,364
2021-12-15,domain21,Excluded,Blocked by robots.txt,5121
2021-12-15,domain21,Excluded,Blocked due to access forbidden (403),1
2021-12-15,domain21,Excluded,Crawled - currently not indexed,9400
,domain21,Excluded,Discovered - currently not indexed,9
2021-12-15,domain21,Excluded,Duplicate without user-selected canonical,453
2021-12-15,domain21,Excluded,"Duplicate, Google chose different canonical than user",13
2021-12-15,domain21,Excluded,Excluded by ‘noindex’ tag,1971814
2021-12-15,domain21,Valid,"Indexed, not submitted in sitemap",2407
2021-12-15,domain21,Warning,"Indexed, though blocked by robots.txt",43150
2021-12-15,domain21,Excluded,Not found (404),40
2021-12-15,domain21,Warning,Page indexed without content,1
2021-12-15,domain21,,Page with redirect,2683
2021-12-15,domain21,Error,Redirect error,40
,domain21,Excluded,Soft 404,939
2021-12-16,domain21,Excluded,Alternate page with proper canonical tag,364
2021-12-16,domain21,Excluded,Blocked by robots.txt,5121
2021-12-16,domain21,Excluded,Blocked due to access forbidden (403),1
2021-12-16,domain21,Excluded,Crawled - currently not indexed,9400
2021-12-16,domain21,Excluded,Discovered - currently not indexed,9
2021-12-16,domain21,Excluded,Duplicate without user-selected canonical,453
2021-12-16,domain21,Excluded,"Duplicate, Google chose different canonical than user",13
,domain21,Excluded,Excluded by ‘noindex’ tag,1971814
2021-12-16,domain21,Valid,"Indexed, not submitted in sitemap",2407
2021-12-16,domain21,Warning,"Indexed, though blocked by robots.txt",43150
2021-12-16,domain21,Excluded,Not found (404),40
2021-12-16,domain21,Warning,Page indexed without content,1
2021-12-16,domain21,Excluded,Page with redirect,2683
2021-12-16,domain21,Error,Redirect error,40
2021-12-16,domain21,Excluded,Soft 404,939
2021-12-06,domain22,Excluded,Alternate page with proper canonical tag,5100
2021-12-06,domain22,,Blocked by robots.txt,0
2021-12-06,domain22,Excluded,Blocked due to access forbidden (403),0
2021-12-06,domain22,Excluded,Crawled - currently not indexed,282
2021-12-06,domain22,Excluded,Discovered - currently not indexed,62
2021-12-06,domain22,Excluded,Excluded by ‘noindex’ tag,61
2021-12-06,domain22,Valid,"Indexed, not submitted in sitemap",9258
2021-12-06,domain22,Excluded,Not found (404),8
2021-12-06,domain22,Excluded,Page with redirect,181
2021-12-06,domain22,Excluded,Soft 404,1
2021-12-07,domain22,Excluded,Alternate page with proper canonical tag,5100
2021-12-07,domain22,Excluded,Blocked by robots.txt,0
2021-12-07,domain22,Excluded,Blocked due to access forbidden (403),0
2021-12-07,domain22,Excluded,Crawled - currently not indexed,282
2021-12-07,domain22,Excluded,Discovered - currently not indexed,62
2021-12-07,domain22,Excluded,Excluded by ‘noindex’ tag,61
2021-12-07,domain22,Valid,"Indexed, not submitted in sitemap",9258
2021-12-07,domain22,Excluded,Not found (404),8
,domain22,Excluded,Page with redirect,181
2021-12-07,domain22,Excluded,Soft 404,1
2021-12-09,domain22,Excluded,Alternate page with proper canonical tag,5085
2021-12-09,domain22,Excluded,Blocked by robots.txt,0
2021-12-09,domain22,Excluded,Blocked due to access forbidden (403),0
2021-12-09,domain22,Excluded,Crawled - currently not indexed,278
2021-12-09,domain22,Excluded,Discovered - currently not indexed,61
2021-12-09,domain22,Excluded,Excluded by ‘noindex’ tag,59
2021-12-09,domain22,Valid,"Indexed, not submitted in sitemap",9262
2021-12-09,domain22,Excluded,Not found (404),8
2021-12-09,domain22,Excluded,Page with redirect,181
